omega_d_GHz,max_prob_1,avg_prob_1
4.890000000000001,0.8283557789630719,0.28786087394655
4.8925,0.839183285917408,0.2908719516637541
4.8950000000000005,0.8496729523131913,0.2939534851295095
4.8975,0.8598389840504935,0.29712696349313755
4.9,0.869623010340264,0.3003473792003215
4.9025,0.8790629523618843,0.3036166085719453
4.905,0.8884642512536085,0.306895439103206
4.907500000000001,0.8980749088432504,0.310179087871902
4.91,0.9071967743084218,0.31344470515414435
4.9125000000000005,0.915823549963744,0.31662694370522104
4.915,0.9239586770595779,0.3197777575243201
4.9175,0.9315720021371694,0.32282273828066643
4.92,0.9386715403336499,0.32575559366575874
4.9225,0.9452438420637673,0.3285492127650198
4.925,0.9513034342768388,0.3311914739667897
4.9275,0.956838316028035,0.33366457047611575
4.930000000000001,0.9618496963845439,0.33595286105963357
4.9325,0.9663221776599791,0.33803560392925736
4.9350000000000005,0.9702721059171776,0.3399173280702611
4.9375,0.9736922373463136,0.34158813610726063
4.94,0.9765816361502636,0.3430360616869977
4.9425,0.9789443418280872,0.34424487740597276
4.945,0.9807786038560115,0.34521747860331337
4.9475,0.9820837150395909,0.34592863941601343
4.95,0.9828656150228198,0.3464054736788572
4.952500000000001,0.9831178938001137,0.34662247420415404
4.955,0.9828496870654468,0.34659427086449207
4.9575000000000005,0.9820637098807931,0.34630933795541025
4.96,0.9807574306778044,0.3457804636174176
4.9625,0.9789337699659725,0.34500117110074846
4.965,0.9765968025055417,0.34397241365569664
4.9675,0.9737465006385406,0.34270191413655066
4.970000000000001,0.9703872557262085,0.3411950269019867
4.9725,0.966518619524985,0.3394582646126346
4.9750000000000005,0.9623471595789691,0.33749653628443316
4.9775,0.9576993885834653,0.33531401646620973
4.98,0.9525162785495276,0.3329420693922118
4.9825,0.9468075831090198,0.330387029307688
4.985,0.9405732643561036,0.3276375179418357
4.9875,0.9338235490015943,0.3247222722218006
4.99,0.9265516065211099,0.3216754252686574
4.9925,0.9187854110803809,0.3184748157383135
4.995,0.9105182899902846,0.31519068892952834
4.9975000000000005,0.9017598003287447,0.3117955610921674
5.0,0.892528436503224,0.308347906141924
5.0025,0.8828325010192742,0.30485969578609073
5.005,0.8726848187982951,0.3013507924054541
5.0075,0.8620953105731377,0.29784017958788284
5.01,0.851090003093533,0.294357116980843
5.0125,0.8396874489311597,0.2909112229754215
5.015000000000001,0.8294107321783453,0.2875341629354969
5.0175,0.8192080295424807,0.2842208960268618
5.0200000000000005,0.8087349520703127,0.2810070058621731
5.0225,0.7979465628053488,0.2778751782158844
5.025,0.7868570292161903,0.2748270650728468
5.0275,0.7754796978364767,0.27182912044448665
5.03,0.7638255224100413,0.2688738515763751
5.032500000000001,0.7519072849761265,0.26590906869976805
5.035,0.7397393433065411,0.2629162544015787
5.0375000000000005,0.7273312649886651,0.25983933354722283
5.04,0.7147023216473448,0.2566441121216596
5.0425,0.7018668037003832,0.25329077813296597
5.045,0.6888353717748459,0.24973188781783356
5.0475,0.6756275915310276,0.2459512882979242
5.05,0.6637281280210573,0.24189775360972968
5.0525,0.6525800885634421,0.237588837379091
5.055,0.6412894672259181,0.23303184951055764
5.0575,0.6298683894357128,0.22822721909656662
5.0600000000000005,0.6183245665311101,0.22323530434003655
5.0625,0.6066691069221757,0.21810051699473587
5.065,0.5949114000419506,0.21285657085173343
5.0675,0.5830613982806246,0.20756217159916474
5.07,0.5711305832003347,0.20226419415868435
5.0725,0.5591300979231826,0.1970044243548913
5.075,0.5470671056368251,0.1917863298353277
5.077500000000001,0.5349477869517709,0.18664606281202878
5.08,0.5228049374250333,0.1816021551883805
5.0825000000000005,0.5106266413529622,0.17665194727044561
5.085,0.49843320030061156,0.1718077011625546
5.0875,0.4880056197721103,0.16709009958710747
5.09,0.4780492964448876,0.1625174970824732
5.0925,0.4680797969349719,0.15813186141738078
5.095000000000001,0.458099395434341,0.1539698816234964
5.0975,0.44811379197991774,0.1500785406237931
5.1000000000000005,0.4381340953759991,0.14650083830273772
5.1025,0.42816026548363406,0.14326053914704895
5.105,0.41820364546827593,0.14035906729705372
5.1075,0.40826306811982715,0.1377630124632996
5.11,0.39835932308552535,0.13541777350728024
5.1125,0.38848436279543896,0.13324129527982653
5.115,0.37864912360090597,0.13113047778186293
5.1175,0.368860042222924,0.12900240129877408
5.12,0.3603323717122531,0.12676143926837002
5.1225000000000005,0.35281918386496924,0.12434736322774065
5.125,0.3453179149410235,0.12172762248058011
5.1275,0.3378246325107648,0.11890353938756948
5.13,0.3303630274073932,0.11588983234256875
5.1325,0.3229208106120738,0.11275157984199495
5.135,0.3155092181021605,0.10954726752270216
5.1375,0.30812664539120893,0.1063375639947456
